,data,label
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.17910174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5576176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1524345, 0, 0]",giao_duc
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.19557056, 0, 0, 0, 0, 0, 0, 0.10667546, 0, 0, 0, 0, 0.020103605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.26298037, 0, 0, 0, 0, 0, 0, 0, 0.016898325, 0, 0.08219609, 0.24820732, 0]",giao_duc
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02789829, 0, 0, 0, 0, 0, 0.21792196, 0, 0, 0, 0, 0, 0, 0, 0.23473212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.18274863, 0.25170493, 0]",giao_duc
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.84731203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06061778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",giao_duc
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6539062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.20532018, 0]",giao_duc
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0.02001723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6999843, 0.17384017, 0]",giao_duc
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.021426655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.42765784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.40842402, 0]",giao_duc
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4491084, 0.13004974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.35604578, 0]",giao_duc
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13987087, 0, 0, 0, 0, 0, 0.11545557, 0, 0, 0, 0, 0.08045227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.39508152, 0, 0, 0.19119734, 0]",giao_duc
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.33208472, 0, 0, 0, 0, 0, 0.3644692, 0, 0, 0, 0.1729697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",giao_duc
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.073183246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6211774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01425754, 0, 0, 0, 0, 0, 0.20312238, 0, 0]",giao_duc
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25346652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.20710318, 0, 0, 0, 0.27214906, 0, 0, 0, 0, 0, 0, 0, 0, 0.19208844, 0]",giao_duc
12,"[0, 0, 0, 0, 0, 0, 0, 0.1537834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.23266615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.48098338, 0]",giao_duc
